course,campus,class_number,component,auto_enrolls,days,times,location,waitlist,instructor,enrolled,limit
PUBHHMP 7673,,4048.0,L,,W F,245P-0205,ML0115,,{7W1} S.Srivastava,21,35
PUBHHMP 7678,,4296.0,L,,W,200P-0300,CZ0380B,,Y.Xu,5,6
PUBHHMP 7680,,3740.0,L,,T R,245P-0205,CZ0160,,L.Stillion,19,38
PUBHHMP 7680,,37984.0,L,,T R,245P-0205,,,K.Scheiderer,1,1
PUBHHMP 7684,,4047.0,L,,M,515P-0800,CZ0180,,L.Hoang,22,30
PUBHHMP 7687,,36906.0,L,,T,200P-0455,,,R.Yearby,0,5
PUBHHMP 7699,,4280.0,S,,,,,,E.Seiber,3,5
PUBHHMP 7699,,4281.0,S,,,,,,J.Robbins,3,5
PUBHHMP 7699,,4126.0,S,,,,,,J.Hefner,3,5
PUBHHMP 7699,,4329.0,S,,,,,,M.Berman,4,6
PUBHHMP 8899,,4069.0,S,,F,930A-1130,UH0074,,Y.Xu,9,12
CZECH 1102,,23496.0,R,,MTWR,150P-0240,HH0120,,L.Stepanova,1,4
CZECH 2104,,28375.0,R,,M W F,240P-0130,HH0120,,L.Stepanova,0,4
HIMS 4685,,5805.0,L,,T,900A-1200,AH0438,,L.Rinehart-Thompson,29,32
HIMS 4689,,5466.0,F,,,,,,"L.Rinehart-Thompson (GR), K.Palsgrove",29,32
HIMS 5535,,5407.0,L,,M,150A-0120,AH0438,,"A.Casto, W.Garner",27,32
HIMS 5535,,5465.0,B,( 5407),R,110P-0300,AH0438,,"A.Casto, W.Garner",27,32
HIMS 5537,,5668.0,L,,R,000A-1200,ONLINE,,A.Casto,29,32
HIMS 5540,,5829.0,L,,T,330P-0450,AH0438,,"A.Dawson (SI), S.White",27,32
HIMS 5540,,5830.0,B,( 5829),R,330P-0450,AH0438,,"S.White, A.Dawson (SI)",27,32
HIMS 5545,,5410.0,L,,M W,000A-1120,AH0438,,L.Rinehart-Thompson,27,32
HIMS 5550,,5827.0,L,,,,ONLINE,,"E.Patterson, S.Anders",12,30
HIMS 5550,,5828.0,L,,,,ONLINE,,"E.Patterson, S.Anders",10,30
HIMS 5648,,5467.0,L,,,,ONLINE,,M.Nguyen,23,100
HIMS 5650,,5409.0,L,,,,ONLINE,,"E.Patterson, S.Anders",3,30
HIMS 5650,,5837.0,L,,,,ONLINE,,"E.Patterson, S.Anders",11,30
HIMS 5654,,5831.0,L,,M,800A-0950,AH0438,,"K.Jones, E.Bosse",26,32
HIMS 5654,,5832.0,B,( 5831),W,800A-0950,AH0438,,"K.Jones, E.Bosse",26,32
HIMS 5656,,5861.0,L,,M W,430P-0600,AH0438,,"A.Throckmorton (SI), L.Wilson",28,32
HIMS 5660,,5408.0,L,,,,ONLINE,,,28,32
HIMS 5661,,5945.0,L,,,,ONLINE,,"{7W1} E.Curtis, S.White (SI)",8,20
HIMS 5661,,5944.0,L,,,,ONLINE,,"{7W1} E.Curtis, S.White (SI)",0,20
AIRSCI 1101,,31222.0,L,,,,,,,0,0
AIRSCI 1102,,31223.0,L,,T,700A,KN0175,,C.Mitchell,17,18
AIRSCI 1102,,31224.0,L,,W,800A,KN0190,,C.Mitchell,15,18
AIRSCI 1102,,31225.0,L,,R,245P,JR0106,,C.Lockridge,0,17
AIRSCI 1111,,31226.0,B,,W,,,,,0,0
AIRSCI 1112,,31227.0,B,,W,545A-0745,KN0250,,K.Kinney,29,213
AIRSCI 2101,,31228.0,L,,,,,,,0,0
AIRSCI 2101,,31229.0,L,,,,,,,0,0
AIRSCI 2102,,31230.0,L,,T,245P,BO0216,,W.Morgan,7,17
AIRSCI 2102,,31231.0,L,,W,800A,,,W.Morgan,0,0
AIRSCI 2102,,31261.0,L,,R,700A,BO0118,,W.Morgan,15,17
AIRSCI 2112,,31232.0,B,,W,545A-0745,KN0250,,K.Kinney,15,213
AIRSCI 2122,,31233.0,B,,W,545A-0745,KN0250,,K.Kinney,4,213
AIRSCI 3101,,31234.0,L,,,,,,,0,0
AIRSCI 3101,,31262.0,L,,,,,,,0,0
AIRSCI 3102,,31235.0,L,,T R,700A-0820,HI0030,,K.Kinney,26,30
AIRSCI 3102,,31263.0,L,,,,,,,0,0
AIRSCI 3112,,31236.0,B,,W,545A-0745,KN0250,,K.Kinney,24,213
AIRSCI 4102,,31237.0,L,,T R,700A-0820,KN0195,,K.WEINBRECHT,16,24
AIRSCI 4102,,31264.0,L,,,,,,,0,0
AIRSCI 4112,,31238.0,B,,W,545A-0745,KN0250,,K.Kinney,16,213
AIRSCI 4122,,31239.0,B,,W,545A-0745,KN0250,,K.Kinney,0,213
GERMAN 1101.01,,19850.0,L,,M W F,910A,DB0060,,A.Morgan,7,17
GERMAN 1101.01,,19851.0,L,,T R,110A-1230,HH0071,,A.Mendez,9,19
GERMAN 1101.01,,25581.0,L,,T R,245P-0205,DB0060,,L.Antin,9,17
GERMAN 1101.01,,28882.0,L,,,,,,,0,0
GERMAN 1101.01,,28883.0,L,,W F,245P-0205,DB0024,,J.Klingler,12,19
GERMAN 1101.02,,28614.0,L,,T R,220P-0340,ONLINE,,B.Beringer,10,17
GERMAN 1102.01,,28885.0,L,,M W F,020A,DE0213,,B.Beringer,4,17
GERMAN 1102.01,,19856.0,L,,T R,110A-1230,DE0265,,L.Vogeler,18,18
GERMAN 1102.01,,19855.0,L,,T R,245P-0205,LZ0001,,U.Orji,12,18
GERMAN 1102.01,,28846.0,L,,W F,110A-1230,DB0049,,T.Teafatiller,10,18
GERMAN 1102.01,,35905.0,L,,W F,245P-0205,DB0030,,B.De Monte,13,18
GERMAN 1102.02,,28613.0,L,,W F,110A-1230,ONLINE,,J.Kramer,8,17
GERMAN 1103.01,,19852.0,L,,M W F,130A,DB0024,,L.Dinter,6,18
GERMAN 1103.01,,19853.0,L,,T R,110A-1230,DB0049,,H.Grubb,19,19
GERMAN 1103.01,,28884.0,L,,T R,245P-0205,HA0012,,J.Clavo Abbass,15,18
GERMAN 1103.01,,19854.0,L,,W F,110A-1230,LZ0001,,M.Foerster,8,18
GERMAN 1103.01,,28845.0,L,,W F,245P-0205,DB0049,,R.Rothmann,18,19
GERMAN 1103.02,,28843.0,L,,T R,110A-1230,ONLINE,,B.Beringer,19,19
GERMAN 1201.01,,35128.0,L,,,,ONLINE,,{7W2} B.Uskokovic,7,12
GERMAN 1201.02,,35129.0,L,,,,ONLINE,,{7W2} B.Uskokovic,3,12
GERMAN 1201.03,,35130.0,L,,,,ONLINE,,{7W2} B.Uskokovic,4,12
GERMAN 2101,,19869.0,L,,M W F,130A,HH0186,,B.Heck,15,26
GERMAN 2101,,35062.0,L,,M W F,150P,HH0359,,B.Heck,9,26
GERMAN 2102,,19870.0,L,,T R,245P-0205,HH0186,,B.Heck,12,26
GERMAN 2251,,36579.0,L,,T R,220P-0340,HH0056,,A.Senuysal,17,26
GERMAN 2254.02,,28833.0,L,,W F,935A-1055,ONLINE,,K.Byram,39,40
GERMAN 3101,,19872.0,L,,T R,110A-1230,HH0359,,A.Grotans,13,26
GERMAN 3200,,35095.0,L,,W F,110A-1230,ML0174,,J.Aupiais,7,27
GERMAN 3250,,34585.0,L,,M W,245P-0205,ONLINE,,"K.Richards, S.Traylor (GR)",147,150
GERMAN 3252.02,,28354.0,L,,T R,245P-0205,ONLINE,,"K.Richards, J.Frazier (GR), K.Sobul (GR)",498,506
GERMAN 3252.02,,37569.0,L,,T R,245P-0205,ONLINE,,"K.Richards, J.Frazier (GR), K.Sobul (GR)",0,3
GERMAN 3253,,36580.0,L,,W F,220P-0340,,,,0,0
GERMAN 3253,,36581.0,L,,T R,220P-0340,,,,0,0
GERMAN 3300,,28470.0,L,,T R,245P-0205,HH0056,,K.Byram,18,27
GERMAN 3317H,,35157.0,L,,W F,220P-0340,HH0056,,C.Porter,2,12
GERMAN 3354,,30519.0,L,,M W,220P-0340,HH0186,,A.Mergenthaler,5,32
GERMAN 4191,,26866.0,F,,,,,,,0,6
GERMAN 4600,,35167.0,S,,T R,935A-1055,HH0351,,A.Grotans,10,26
GERMAN 4670H,,35848.0,L,,T R,220P-0345,SOE0103,,J.Davidson,1,24
GERMAN 4999H,,19880.0,I,,,200A-1200,,,M.Birkhold,0,1
GERMAN 6601,,26988.0,R,,,,HH0488,,B.Uskokovic,13,15
GERMAN 6999,,19873.0,I,,,200A-1200,,,M.Birkhold,0,1
GERMAN 6999,,19874.0,I,,,200A-1200,,,K.Byram,0,1
GERMAN 6999,,19875.0,I,,,200A-1200,,,J.Davidson,0,1
GERMAN 6999,,19876.0,I,,,200A-1200,,,A.Grotans,0,1
GERMAN 6999,,19877.0,I,,,200A-1200,,,A.Mergenthaler,0,1
GERMAN 6999,,19878.0,I,,,200A-1200,,,P.Reitter,0,1
GERMAN 6999,,19879.0,I,,,200A-1200,,,C.Taleghani-Nikazm,1,1
GERMAN 8200,,27669.0,S,,F,910A-1155,HH0488,,C.Porter,7,12
GERMAN 8300,,28367.0,S,,T,910A-1155,HH0488,,A.Mergenthaler,8,12
GERMAN 8500,,25578.0,S,,,,,,K.Byram,4,4
GERMAN 8501,,26994.0,W,,,200A-1200,,,,0,1
GERMAN 8600,,28126.0,S,,W,220P-0505,HH0160,,C.Taleghani-Nikazm,6,12
GERMAN 1102.01,MNS,30770.0,L,,M W,030A-1220,,,,0,30
GERMAN 3252.02,MNS,37564.0,L,,T R,245P-0205,ONLINE,,"K.Richards, J.Frazier (GR), K.Sobul (GR)",1,3
MEATSCI 3110,,31912.0,L,,M W F,150P,AS0117,,L.Garcia,10,35
MEATSCI 3191,,32980.0,F,,,,,,B.Bohrer,0,10
MEATSCI 3191,,32981.0,F,,,,,,,0,10
MEATSCI 3191,,32982.0,F,,,,,,L.Garcia,0,10
MEATSCI 3191,,33084.0,F,,,,,,M.Cressman,0,10
MEATSCI 3210,,35227.0,B,,T R,700A-1005,AS0117,,"L.Garcia, M.Cressman",11,25
ESEPSY 1159,,13646.0,L,,,,ONLINE,,{7W2} K.Matthias,36,35
ESEPSY 1159,,13650.0,L,,,,ONLINE,,{7W2} A.Schultz,35,35
ESEPSY 1159,,13658.0,L,,,,ONLINE,,{7W2} N.Pizarro,34,35
ESEPSY 1159,,13659.0,L,,,,ONLINE,,{7W2} M.Ham,34,35
ESEPSY 1159,,13662.0,L,,,,ONLINE,,{7W2} E.Caldwell,33,35
ESEPSY 1159,,13673.0,L,,,,ONLINE,,{7W2} E.Caldwell,32,35
ESEPSY 1259,,13679.0,L,,W F,110A-1230,YN0250,,Y.Weng,15,25
ESEPSY 1259,,13684.0,L,,M,410P-0655,YN0250,,R.Deer,16,25
ESEPSY 1259,,13700.0,L,,T R,935A-1055,YN0250,,R.Deer,17,25
ESEPSY 1259,,13680.0,L,,T R,110A-1230,YN0250,,R.Tuttle,25,25
ESEPSY 1259,,13681.0,L,,T R,245P-0205,YN0250,,R.Tuttle,25,25
ESEPSY 1259,,13683.0,L,,T R,220P-0340,YN0250,,I.Terogo,20,25
ESEPSY 1259,,13682.0,L,,T R,355P-0515,YN0250,,I.Terogo,9,35
ESEPSY 1259,,13685.0,L,,,,ONLINE,,A.Soter,35,35
ESEPSY 1259,,13686.0,L,,,,ONLINE,,L.Huang,35,35
ESEPSY 1259,,13687.0,L,,,,ONLINE,,L.Huang,35,35
ESEPSY 1259,,13688.0,L,,,,ONLINE,,Y.Weng,35,35
ESEPSY 1259,,13689.0,L,,,,ONLINE,,M.Choi,33,35
ESEPSY 1259,,13690.0,L,,,,ONLINE,,C.McComas,32,35
ESEPSY 1259,,13691.0,L,,,,ONLINE,,K.Henkaline,33,35
ESEPSY 1259,,15456.0,L,,,,ONLINE,,B.Collier-Gibson,34,35
ESEPSY 1359,,13649.0,L,,W,215P-0500,PEA0103,,{7W2} D.Oaks,28,30
ESEPSY 2059,,13692.0,L,,T R,110A-1230,SOE0241,,{7W1} B.Hines,22,24
ESEPSY 2059,,13694.0,L,,T R,245P-0205,PEA0103,,{7W1} B.Collier-Gibson,16,24
ESEPSY 2059,,13693.0,L,,T R,245P-0205,DB0030,,{7W2} B.Collier-Gibson,24,24
ESEPSY 2059,,13695.0,L,,T R,110A-1230,SOE0241,,{7W2} B.Hines,24,24
ESEPSY 2059,,13696.0,L,,,,,,{7W2},0,24
ESEPSY 2059,,13697.0,L,,T R,355P-0515,SOE0241,,{7W2} N.Craven,22,24
ESEPSY 2059,,38230.0,L,,M W,245P-0205,YN0250,,{7W2} C.Wolters,16,24
ESEPSY 2060,,13698.0,L,,,,,,{7W1},0,20
ESEPSY 2060,,13703.0,L,,T R,935A-1055,YN0220,,{7W2} M.Choi,20,20
ESEPSY 2060,,15868.0,L,,T R,110A-1230,YN0220,,{7W2} C.McComas,19,20
ESEPSY 2060,,35888.0,L,,T R,220P-0340,YN0220,,{7W2} C.McComas,20,20
ESEPSY 2060,,38231.0,L,,W F,110A-1230,YN0220,,{7W2} C.McComas,19,20
ESEPSY 2309,,13637.0,L,,,,ONLINE,,H.Park,30,30
ESEPSY 2309,,13638.0,L,,M W,935A-1055,RA0136,,K.Wilson,10,30
ESEPSY 2309,,13639.0,L,,,,ONLINE,,H.Park,29,30
ESEPSY 2309,,13647.0,L,,T R,245P-0205,RA0166,,Y.Sheng,17,30
ESEPSY 2309,,13648.0,L,,T R,935A-1055,RA0166,,Y.Sheng,13,30
ESEPSY 2309,,13652.0,L,,,,ONLINE,,R.Deer,32,32
ESEPSY 5401,,13640.0,L,,W,410P-0610,DE0245,,S.Yu,12,24
ESEPSY 5401,,15741.0,L,,W F,245P-0205,PEA0103,,M.Glassman,14,29
ESEPSY 5401,,13641.0,L,,W,410P-0610,DE0245,,S.Yu,0,24
ESEPSY 5401,,15742.0,L,,W F,245P-0205,PEA0103,,M.Glassman,0,30
ESEPSY 7401,,35619.0,L,,R,410P-0650,PEA0105,,E.Anderman,11,30
ESEPSY 7404,,13702.0,L,,T,410P-0650,BO0316,,S.Yu,18,20
ESEPSY 7405,,35620.0,L,,M,430P-0650,SM1064,,T.Lin,10,30
ESEPSY 7406,,13660.0,L,,T,410P-0650,DB0048,,C.Wolters,15,25
ESEPSY 8403,,36936.0,S,,,,,,,0,30
ESEPSY 8404,,15560.0,S,,R,245P-0340,PEA0105,,M.Glassman,15,15
ESEPSY 8895,,14808.0,S,,W,430P-0650,,,M.Glassman,0,25
ESEPSY 2059,LMA,13699.0,L,,W,310P-0500,GA0450,,{7W2} F.Cummings,10,25
ESEPSY 2309,LMA,13651.0,L,,,,ONLINE,,H.Lee,27,25
ESEPSY 1259,MNS,36838.0,L,,M W,945A-1105,OV0463,,T.Hines,13,24
ESEPSY 2059,MNS,13676.0,L,,T R,300P-0420,OV0114,,{7W1} K.Karchella,12,20
ESEPSY 2059,MNS,15847.0,L,,T R,300P-0420,OV0114,,{7W2} K.Karchella,10,20
ESEPSY 2309,MNS,13661.0,L,,,,ONLINE,,K.Kowalski,28,24
ESEPSY 2059,MRN,15100.0,L,,T R,930A-1050,MR0125,,"{7W1} C.Trapp, M.McKinniss",10,24
ESEPSY 2309,MRN,13620.0,L,,,,ONLINE,,"M.Herzberg, J.Crossley",16,25
ESEPSY 2059,NWK,37450.0,L,,T R,355P-0515,HRH1008,,{7W2} J.White,24,24
ESEPSY 2309,NWK,13621.0,L,,T R,355P-0515,HP0076,,C.Idleman,15,35
ESEPSY 2309,NWK,15783.0,L,,T R,220P-0340,HP0076,,C.Idleman,13,30
ENGREDU 6200,,34641.0,S,,M,900A-1145,SM3150,,A.Shermadou,4,15
ENGREDU 7189.02,,8585.0,L,,M,525P,ONLINE,,R.Kajfez,16,20
ENGREDU 7780,,8584.0,L,,W,100P-0345,SM3150,,M.Artiles Fonseca,4,14
ENGREDU 7881,,11600.0,S,,,,,,,0,15
GENMATH 1141T,WST,31752.0,L,,M W F,020A,SK0105,,A.Cakmak,6,30
GENMATH 1145T,WST,31753.0,L,,M W F,020A,SHC0110,,T.Janini,0,30
GENMATH 1193T,WST,34221.0,I,,T R,410P,SK0201,,A.Cakmak,1,24
CBE 2100,,12342.0,S,,M,240P,CB0130,,J.Winter,66,110
CBE 2200,,9612.0,L,,M W F,910A,CB0120,,J.Clay,46,47
CBE 2200,,9613.0,L,,M W F,020A,CB0120,,R.Harmon,46,47
CBE 2345,,12391.0,L,,M W F,300P,RA0059,,R.Harmon,93,110
CBE 2420,,9614.0,L,,T R,110A-1230,CB0110,,E.Reategui Pizarro,36,60
CBE 2420,,12375.0,L,,W F,355P-0515,ML0191,,A.Palmer,11,50
CBE 2523,,9845.0,L,,T R,800A-0920,JR0300,,J.Clay,59,110
CBE 3421,,12345.0,L,,T R,935A-1055,CB0130,,J.Sangoro,83,115
CBE 3422,,12347.0,L,,T R,935A-1055,RA0059,,X.Liu,48,110
CBE 3508,,9615.0,L,,W F,245P-0205,FL1000,,X.Wang,90,130
CBE 3509,,12349.0,L,,T R,355P-0515,HI0031,,I.Kusaka,67,110
CBE 3610,,9616.0,L,,M W F,910A,JR0300,,N.Brunelli,80,110
CBE 3730,,12446.0,B,,W F,030A-1230,,,A.Maxson,44,50
CBE 3730,,12447.0,B,,T R,245P-0245,,,A.Maxson,37,50
CBE 3731,,12451.0,B,,W F,030A-1230,,,A.Maxson,36,37
CBE 3731,,12452.0,B,,T R,245P-0245,,,A.Maxson,29,37
CBE 3732,,12448.0,B,,W F,030A-1230,,,"S.Cooper, A.Maxson",22,50
CBE 3732,,12449.0,B,,T R,245P-0245,,,"A.Maxson, S.Cooper",15,50
CBE 3732,,12450.0,L,,M,530P-0650,FL1000,,"S.Cooper, A.Maxson",37,150
CBE 4624,,9750.0,L,,W F,220P-0340,CB0130,,J.Paulson,76,110
CBE 4755,,11739.0,L,,W F,240P,CB0130,,M.Kathe,86,110
CBE 4760,,9617.0,L,,M W F,910A,CB0130,,M.Kathe,67,117
CBE 4764,,9618.0,L,,MT,300P,CB0120,,D.Tomasko,36,66
CBE 4764,,12664.0,R,,WR,300P,CB0120,,D.Tomasko,36,66
CBE 4764,,12410.0,L,,MT,410P,CB0120,,D.Tomasko,51,66
CBE 4764,,12665.0,R,,WR,410P,CB0120,,D.Tomasko,51,66
CBE 5194,,36809.0,L,,T R,220P-0340,DE0268,,J.Chalmers,12,20
CBE 5200,,9855.0,L,,M W F,300P,FL2020,,I.El-Monier,38,65
CBE 5230,,9860.0,L,,W F,110A-1230,JR0139,,I.El-Monier,24,30
CBE 5550,,9846.0,L,,T R,220P-0340,SON0048,,J.Song,21,40
CBE 5550,,9847.0,L,,T R,220P-0340,SON0048,,J.Song,1,2
CBE 5713,,34822.0,L,,M W,110A-1230,CB0169,,U.Ozkan,22,30
CBE 5734,,11740.0,L,,T R,935A-1055,CB0110,,J.Rathman,22,60
CBE 5735,,34823.0,L,,T R,245P-0205,KN0195,,J.Winter,22,30
CBE 5766,,34825.0,L,,W F,245P-0205,SOE0245,,S.Yang,10,25
CBE 5775,,34824.0,L,,T R,410P-0530,CB0169,,W.Ho,6,25
CBE 8781,,9743.0,L,,M W,935A-1055,BO0311,,D.Wood,19,32
CBE 8808,,12406.0,L,,T R,355P-0515,DL0369,,A.Asthagiri,19,35
CBE 8812,,9744.0,L,,M W,355P-0515,CB0169,,L.Fan,22,35
CBE 8895,,9611.0,L,,T R,110A-1230,CB0130,,U.Ozkan,77,110
CBE 8999,,9734.0,I,,M W,530P-0730,DB0047,,U.Ozkan,6,10
GENCHEM 1100T,WST,31750.0,L,,M W F,130A,SHC0110,,T.Janini,19,35
ARABIC 1101.01,,27175.0,L,,TWRF,020A,ONLINE,,N.Murteza,16,18
ARABIC 1101.01,,30992.0,L,,TWRF,130A,JR0143,,H.Dirbas,17,18
ARABIC 1102.01,,17360.0,L,,TWRF,020A,EC0346,,H.Dirbas,11,17
ARABIC 1102.01,,17361.0,L,,T R,240P,HH0359,,M.Habbal,16,17
ARABIC 1102.01,,17362.0,L,,TWRF,910A,ONLINE,,M.Habbal,15,17
ARABIC 1102.01,,35437.0,L,,T R,150P,HH0145,,M.Habbal,9,17
ARABIC 1103.01,,27715.0,L,,T R,130A,HH0145,,N.Murteza,21,20
ARABIC 2101,,30667.0,L,,T R,220P-0340,DB0060,,H.Dirbas,4,17
ARABIC 2104.01,,17363.0,L,,TWR,240P,HH0045,,M.Labaki,19,17
ARABIC 2104.01,,35438.0,L,,MTWRF,240P,,,,0,0
ARABIC 2112,,27176.0,L,,T R,220P-0340,HH0071,,M.Labaki,11,17
ARABIC 2241,,28812.0,L,,,,ONLINE,,"H.Dirbas, A.Rogers (TA)",68,70
ARABIC 2701,,28241.0,L,,T R,110A-1230,DE0250,,"A.Al-Jallad, A.Foreman (TA)",21,45
ARABIC 2702,,30707.0,L,,T R,220P-0340,BO0116,,S.Ibrahim,22,36
ARABIC 3601,,30978.0,L,,T R,245P-0205,ML0175,,S.Anthony,21,42
ARABIC 3705,,27716.0,L,,,,,,,0,40
ARABIC 4106,,20503.0,L,,T R,130A,,,M.Labaki,2,17
ARABIC 5611,,36931.0,L,,T R,935A-1055,DU0012,,A.Al-Jallad,7,25
ARABIC 5611,,36932.0,L,,T R,935A-1055,DU0012,,A.Al-Jallad,3,25
ARABIC 5651,,30812.0,L,,,,,,,0,17
ARABIC 5651,,30653.0,L,,,,,,,0,15
ARABIC 8891,,35832.0,S,,,,,,,0,20
ARABIC 3702,MNS,29385.0,L,,T R,220P-0340,ONLINE,,Z.Alidib,2,5
ARABIC 2702,MRN,35390.0,L,,,,,,,0,0
ARABIC 3702,MRN,35391.0,L,,M W,930A-1050,MR0290,,Z.Alidib,12,24
ARABIC 2241,NWK,28472.0,L,,T R,935A-1055,ONLINE,,Z.Alidib,30,35
ARABIC 3702,NWK,29170.0,L,,T R,220P-0340,ONLINE,,Z.Alidib,16,19
ARTSSCI 1100.01,,20685.0,L,,M,020A,JR0300,,T.Beyl,26,62
ARTSSCI 1100.04,,17779.0,L,,,,ONLINE,,{7W1} T.Bitters,298,998
ARTSSCI 1100.15,,20688.0,L,,M,000A-1100,LZ0220,,,0,22
ARTSSCI 1191,,17780.0,F,,,,,,J.Brihm-Spann,0,20
ARTSSCI 1191,,17781.0,F,,,,,,J.Brihm-Spann,0,20
ARTSSCI 1191,,28597.0,F,,,,ONLINE,,J.Brihm-Spann,1,20
ARTSSCI 1191,,28642.0,F,,,,,,{7W1} J.Brihm-Spann,0,20
ARTSSCI 1191,,28647.0,F,,,,,,{7W1} J.Brihm-Spann,0,20
ARTSSCI 1191,,28649.0,F,,,,ONLINE,,{7W1} J.Brihm-Spann,0,20
ARTSSCI 1191,,28643.0,F,,,,,,{7W2} J.Brihm-Spann,0,20
ARTSSCI 1191,,28648.0,F,,,,,,{7W2} J.Brihm-Spann,0,20
ARTSSCI 1191,,28650.0,F,,,,ONLINE,,{7W2} J.Brihm-Spann,0,20
ARTSSCI 1191,,29661.0,F,,,,,,{7W2} J.Brihm-Spann,0,5
ARTSSCI 1191,,29547.0,F,,,,,,J.Brihm-Spann,0,20
ARTSSCI 1411,,29626.0,L,,,,ONLINE,,{7W2} D.Dotson,16,30
ARTSSCI 2000,,35990.0,L,,W,410P,DB0030,,"M.D'Angelo, N.Titkemeier",21,25
ARTSSCI 2001,,36821.0,L,,M,150P,FL1000,,"J.Cheavens, D.Strunk",14,60
ARTSSCI 2001,,36922.0,L,,,,,,,0,30
ARTSSCI 2120,,17785.0,L,,,,ONLINE,,{7W2} M.Flierl,21,25
ARTSSCI 2120,,36465.0,L,,,,ONLINE,,{7W2} S.Founds,0,0
ARTSSCI 2121,,27321.0,L,,,,ONLINE,,{7W2} J.Gibson,13,25
ARTSSCI 2194,,37344.0,L,,M,100A,HH0056,,"C.Gbur, J.Simmons (GR)",15,25
ARTSSCI 2400,,30728.0,L,,W F,110A-1230,DU0024,,K.Joyce,8,15
ARTSSCI 2400,,36746.0,L,,W F,110A-1230,UH0066,,K.Stroh,8,15
ARTSSCI 2400E,,30729.0,L,,W F,110A-1230,DU0024,,K.Joyce,1,5
ARTSSCI 2400E,,36747.0,L,,W F,110A-1230,UH0066,,K.Stroh,0,5
ARTSSCI 3000,,35991.0,L,,T R,300P,DU0012,,"B.Harvey, L.Bolton",20,25
ARTSSCI 3142.01,,20687.0,L,,,,ONLINE,,"{7W2} D.Dotson, P.Wood",9,25
ARTSSCI 3191.01,,17782.0,F,,,,,,J.Brihm-Spann,2,15
ARTSSCI 3191.01,,31164.0,F,,,,ONLINE,,{7W2} R.Sallade,1,5
ARTSSCI 3191.01,,20684.0,F,,,,,,J.Brihm-Spann,0,15
ARTSSCI 3191.01,,28634.0,F,,,,ONLINE,,J.Brihm-Spann,0,15
